State,Year,Quarter,District,Count,Amount
telangana,2018,2,hyderabad,3156805,6628159910.681627
telangana,2018,2,rangareddy,1939856,4360690897.522385
telangana,2018,2,medchal malkajgiri,1459884,3122661501.184857
telangana,2018,2,warangal urban,385360,729207663.2999268
telangana,2018,2,sangareddy,370126,717109835.7001467
telangana,2018,2,karimnagar,253264,526580356.2041131
telangana,2018,2,nalgonda,246677,552006649.1379006
telangana,2018,2,khammam,239474,532458838.37570375
telangana,2018,2,peddapalle,214900,413454435.3323817
telangana,2018,2,bhadradri kothagudem,189793,504562629.3259425
telangana,2021,1,hyderabad,169703372,316572388133.78735
telangana,2021,1,rangareddy,60675056,98883148961.30931
telangana,2021,1,medchal malkajgiri,54854446,87516738646.29623
telangana,2021,1,warangal urban,13629397,28292658503.028103
telangana,2021,1,sangareddy,12350347,23546322114.765312
telangana,2021,1,nalgonda,8018559,19628854223.15605
telangana,2021,1,khammam,7140986,17657527187.368073
telangana,2021,1,karimnagar,6934134,15385243676.854752
telangana,2021,1,nizamabad,5831809,14665519256.295437
telangana,2021,1,bhadradri kothagudem,5386614,13659056643.17039
telangana,2021,3,hyderabad,262028284,479343321365.37256
telangana,2021,3,rangareddy,87884143,147772047919.14047
telangana,2021,3,medchal malkajgiri,79514766,130838255095.6952
telangana,2021,3,warangal urban,20050897,41422180516.83781
telangana,2021,3,sangareddy,18758999,33876669677.960114
telangana,2021,3,nalgonda,11844124,26760618927.739136
telangana,2021,3,khammam,10938504,25395360624.33412
telangana,2021,3,karimnagar,10704240,23540118368.011086
telangana,2021,3,nizamabad,9331288,22809748582.059334
telangana,2021,3,bhadradri kothagudem,8176066,18135807092.898582
telangana,2021,4,hyderabad,325636475,582079170534.0186
telangana,2021,4,rangareddy,111354739,188838966046.13513
telangana,2021,4,medchal malkajgiri,98780634,164568262330.06238
telangana,2021,4,warangal urban,24530882,50725020756.70877
telangana,2021,4,sangareddy,23598968,43773604056.366425
telangana,2021,4,nalgonda,14645444,33883155723.957207
telangana,2021,4,khammam,13424236,31245204308.11756
telangana,2021,4,karimnagar,13040240,29149229156.48455
telangana,2021,4,nizamabad,12113902,31740368651.355705
telangana,2021,4,bhadradri kothagudem,10121890,22567782620.241013
telangana,2021,2,hyderabad,212326623,424872741465.13696
telangana,2021,2,rangareddy,63155281,113987187628.93881
telangana,2021,2,medchal malkajgiri,58755991,102864360004.68025
telangana,2021,2,warangal urban,15534189,35324332007.02503
telangana,2021,2,sangareddy,14851128,28799723416.87831
telangana,2021,2,nalgonda,10161723,25305904142.337223
telangana,2021,2,khammam,9096326,23771340184.86827
telangana,2021,2,karimnagar,8548354,20534233590.75627
telangana,2021,2,nizamabad,7753597,21755545090.473732
telangana,2021,2,bhadradri kothagudem,6854796,16726841230.685331
telangana,2024,1,rangareddy,488047529,658571093582.0
telangana,2024,1,hyderabad,402314318,527685058004.0
telangana,2024,1,medchal malkajgiri,380041109,499878493547.0
telangana,2024,1,sangareddy,107498888,152357205148.0
telangana,2024,1,warangal urban,70551596,114560592674.0
telangana,2024,1,nalgonda,57098940,98606283408.0
telangana,2024,1,khammam,50268342,85489962260.0
telangana,2024,1,nizamabad,47460405,88712501584.0
telangana,2024,1,karimnagar,46640034,78799936388.0
telangana,2024,1,siddipet,38675119,67849417784.0
telangana,2024,3,rangareddy,577835181,738052396062.0
telangana,2024,3,medchal malkajgiri,501688745,624450298660.0
telangana,2024,3,hyderabad,465828755,570267006787.0
telangana,2024,3,sangareddy,126810552,163828505017.0
telangana,2024,3,nalgonda,67166976,106577124493.0
telangana,2024,3,hanumakonda,62129480,92417746127.0
telangana,2024,3,khammam,59590342,89409006331.0
telangana,2024,3,nizamabad,56081224,96336180734.0
telangana,2024,3,karimnagar,55521152,87533374372.0
telangana,2024,3,siddipet,45607474,74523978087.0
telangana,2024,4,rangareddy,616593580,775467300648.0
telangana,2024,4,medchal malkajgiri,534184945,651550001586.0
telangana,2024,4,hyderabad,497079422,601741671786.0
telangana,2024,4,sangareddy,137524075,178555551339.0
telangana,2024,4,nalgonda,72893381,121850118446.0
telangana,2024,4,hanumakonda,67327116,99363371832.0
telangana,2024,4,khammam,65955133,100475160361.0
telangana,2024,4,nizamabad,63839160,116551064106.0
telangana,2024,4,karimnagar,60783326,95891241089.0
telangana,2024,4,siddipet,50636790,84000345164.0
telangana,2024,2,rangareddy,539561247,707566316827.0
telangana,2024,2,hyderabad,435136278,550918208821.0
telangana,2024,2,medchal malkajgiri,416369023,532889975847.0
telangana,2024,2,sangareddy,119607178,162784032723.0
telangana,2024,2,warangal urban,77539345,123124564726.0
telangana,2024,2,nalgonda,64679087,110562672982.0
telangana,2024,2,khammam,57417922,93233997680.0
telangana,2024,2,nizamabad,55212992,105947261030.0
telangana,2024,2,karimnagar,52574495,87041670647.0
telangana,2024,2,siddipet,44012926,74550271720.0
telangana,2022,1,hyderabad,372711414,661512502141.0775
telangana,2022,1,rangareddy,127675017,216609881380.40106
telangana,2022,1,medchal malkajgiri,110893187,185168270983.38605
telangana,2022,1,warangal urban,27504554,56954288260.23642
telangana,2022,1,sangareddy,27250369,50754041229.75235
telangana,2022,1,nalgonda,17014104,39284842780.64408
telangana,2022,1,khammam,15266245,35894472741.54594
telangana,2022,1,karimnagar,14698433,32332888869.973804
telangana,2022,1,nizamabad,13749642,33996713436.015533
telangana,2022,1,siddipet,11464769,25404779557.018036
telangana,2022,3,hyderabad,1018658174,1586047443981.7905
